@id,rdf:type,owl:inverseOf,rdfs:label,rdfs:comment,rdfs:domain
togaf:processPrecedesOrFollowsProcess,owl:SymmetricProperty,,precedes/follows,,
togaf:productIsProducedByOrganizationUnit,owl:ObjectProperty,,is produced by,,
togaf:productIsProducedByProcess,owl:ObjectProperty,,is produced by,,
togaf:roleIsPerformedByActor,owl:ObjectProperty,,is performed by,,
togaf:rolePerformsAndOrParticipatesInProcess,owl:ObjectProperty,,performs and/or participates in,,
togaf:roleDecomposesRole,owl:ObjectProperty,togaf:roleIsDecomposedByRole,decomposes,,
togaf:roleIsDecomposedByRole,owl:ObjectProperty,,is decomposed by,,
togaf:businessServiceIsProvidedToActor,owl:ObjectProperty,,is provided to,,
togaf:businessServiceIsGovernedAndMeasuredByContract,owl:ObjectProperty,,is governed and measured by,,
togaf:businessServiceProvidesAndOrConsumesDataEntity,owl:ObjectProperty,,provides and/or consumes,,
togaf:businessServiceResolvesEvent,owl:ObjectProperty,,resolves,,
togaf:businessServiceProvidesGovernedInterfaceToAccessFunction,owl:ObjectProperty,,provides governed interface to access,,
togaf:businessServiceIsRealizedThroughInformationSystemService,owl:ObjectProperty,,is realized through,,
togaf:businessServiceIsRealizedThroughLogicalApplicationComponent,owl:ObjectProperty,,is realized through,,
togaf:businessServiceIsImplementedOnLogicalTechnologyComponent,owl:ObjectProperty,,is implemented on,,
togaf:businessServiceIsTrackedAgainstMeasure,owl:ObjectProperty,,is tracked against,,
togaf:businessServiceIsOwnedAndGovernedByOrganizationUnit,owl:ObjectProperty,,is owned and governed by,,
togaf:businessServiceIsRealizedByAndOrSupportsProcess,owl:ObjectProperty,,is realized by and/or supports,,
togaf:businessServiceMeetsServiceQuality,owl:ObjectProperty,togaf:serviceQualityAppliesToBusinessService,meets,,
togaf:businessServiceConsumesBusinessService,owl:ObjectProperty,togaf:businessServiceIsConsumedByBusinessService,consumes,,
togaf:businessServiceIsConsumedByBusinessService,owl:ObjectProperty,,is consumed by,,
togaf:businessServiceDecomposesBusinessService,owl:ObjectProperty,togaf:businessServiceIsDecomposedByBusinessService,decomposes,,
togaf:businessServiceIsDecomposedByBusinessService,owl:ObjectProperty,,is decomposed by,,
togaf:serviceQualityAppliesToContract,owl:ObjectProperty,,applies to,,
togaf:serviceQualityAppliesToBusinessService,owl:ObjectProperty,,applies to,,
togaf:technologyServiceIsSuppliedByLogicalTechnologyComponent,owl:ObjectProperty,,is supplied by,,
togaf:technologyServiceServesInformationSystemService,owl:ObjectProperty,,serves,,
togaf:valueStreamIsTriggeredByAndOrInvolvesActor,owl:ObjectProperty,,is triggered by and/or involves,,
togaf:valueStreamIsEnabledByBusinessCapability,owl:ObjectProperty,,is enabled by,,
togaf:valueStreamIsInfluencedByCourseOfAction,owl:ObjectProperty,,is influenced by,,
togaf:workPackageDeliversCapability,owl:ObjectProperty,,delivers,,
togaf:associatedWith,owl:ObjectProperty,,associated with,,
togaf:hasComponent,owl:ObjectProperty,,has component,,
togaf:category,owl:ObjectProperty,,category,User-definable categorization taxonomy for each metamodel entity.,togaf:ContentClassification
